150_90_accumulated_energy,450_90_accumulated_energy,150_355_accumulated_energy,270_235_accumulated_energy,450_355_accumulated_energy,560_235_accumulated_energy,270_500_accumulated_energy,560_500_accumulated_energy
21800,21800,21800,21800,21800,21800,21800,21800
21900,21900,21900,21900,21900,21900,21900,21900
22000,22000,22000,22000,22000,22000,22000,22000
22100,22100,22100,22100,22100,22100,22100,22100
22200,22200,22200,22200,22200,22200,22200,22200
22300,22300,22300,22300,22300,22300,22300,22300
22400,22400,22400,22400,22400,22400,22400,22400
22500,22500,22500,22500,22500,22500,22500,22500
22600,22600,22600,22600,22600,22600,22600,22600
22700,22700,22700,22700,22700,22700,22700,22700
22800,22800,22800,22800,22800,22800,22800,22800
22900,22900,22900,22900,22900,22900,22900,22900
23000,23000,23000,23000,23000,23000,23000,23000
23100,23100,23100,23100,23100,23100,23100,23100
23200,23200,23200,23200,23200,23200,23200,23200
23300,23300,23300,23300,23300,23300,23300,23300
23400,23400,23400,23400,23400,23400,23400,23400
23500,23500,23500,23500,23500,23500,23500,23500
23600,23600,23600,23600,23600,23600,23600,23600
23700,23700,23700,23700,23700,23700,23700,23700
23800,23800,23800,23800,23800,23800,23800,23800
23900,23900,23900,23900,23900,23900,23900,23900
24000,24000,24000,24000,24000,24000,24000,24000
24100,24100,24100,24100,24100,24100,24100,24100
24200,24200,24200,24200,24200,24200,24200,24200
24300,24300,24300,24300,24300,24300,24300,24300
24400,24400,24400,24400,24400,24400,24400,24400
24500,24500,24500,24500,24500,24500,24500,24500
24600,24600,24600,24600,24600,24600,24600,24600
24700,24700,24700,24700,24700,24700,24700,24700
24800,24800,24800,24800,24800,24800,24800,24800
24900,24900,24900,24900,24900,24900,24900,24900
25000,25000,25000,25000,25000,25000,25000,25000
25100,25100,25100,25100,25100,25100,25100,25100
25200,25200,25200,25200,25200,25200,25200,25200
25300,25300,25300,25300,25300,25300,25300,25300
25400,25400,25400,25400,25400,25400,25400,25400
25500,25500,25500,25500,25500,25500,25500,25500
25600,25600,25600,25600,25600,25600,25600,25600
25700,25700,25700,25700,25700,25700,25700,25700
25800,25800,25800,25800,25800,25800,25800,25800
25900,25900,25900,25900,25900,25900,25900,25900
26000,26000,26000,26000,26000,26000,26000,26000
26100,26100,26100,26100,26100,26100,26100,26100
26200,26200,26200,26200,26200,26200,26200,26200
26300,26300,26300,26300,26300,26300,26300,26300
26400,26400,26400,26400,26400,26400,26400,26400
26500,26500,26500,26500,26500,26500,26500,26500
26600,26600,26600,26600,26600,26600,26600,26600
26700,26700,26700,26700,26700,26700,26700,26700
26800,26800,26800,26800,26800,26800,26800,26800
26900,26900,26900,26900,26900,26900,26900,26900
27000,27000,27000,27000,27000,27000,27000,27000
27100,27100,27100,27100,27100,27100,27100,27100
27200,27200,27200,27200,27200,27200,27200,27200
27300,27300,27300,27300,27300,27300,27300,27300
27400,27400,27400,27400,27400,27400,27400,27400
27500,27500,27500,27500,27500,27500,27500,27500
27600,27600,27600,27600,27600,27600,27600,27600
27700,27700,27700,27700,27700,27700,27700,27700
27800,27800,27800,27800,27800,27800,27800,27800
27900,27900,27900,27900,27900,27900,27900,27900
28000,28000,28000,28000,28000,28000,28000,28000
28100,28100,28100,28100,28100,28100,28100,28100
28200,28200,28200,28200,28200,28200,28200,28200
28300,28300,28300,28300,28300,28300,28300,28300
28400,28400,28400,28400,28400,28400,28400,28400
28500,28500,28500,28500,28500,28500,28500,28500
28600,28600,28600,28600,28600,28600,28600,28600
28700,28700,28700,28700,28700,28700,28700,28700
28800,28800,28800,28800,28800,28800,28800,28800
28900,28900,28900,28900,28900,28900,28900,28900
29000,29000,29000,29000,29000,29000,29000,29000
29100,29100,29100,29100,29100,29100,29100,29100
29200,29200,29200,29200,29200,29200,29200,29200
29300,29300,29300,29300,29300,29300,29300,29300
29400,29400,29400,29400,29400,29400,29400,29400
29500,29500,29500,29500,29500,29500,29500,29500
29600,29600,29600,29600,29600,29600,29600,29600
29700,29700,29700,29700,29700,29700,29700,29700
29800,29800,29800,29800,29800,29800,29800,29800
29900,29900,29900,29900,29900,29900,29900,29900
30000,30000,30000,30000,30000,30000,30000,30000
30100,30100,30100,30100,30100,30100,30100,30100
30200,30200,30200,30200,30200,30200,30200,30200
30300,30300,30300,30300,30300,30300,30300,30300
30400,30400,30400,30400,30400,30400,30400,30400
30500,30500,30500,30500,30500,30500,30500,30500
30600,30600,30600,30600,30600,30600,30600,30600
30700,30700,30700,30700,30700,30700,30700,30700
30800,30800,30800,30800,30800,30800,30800,30800
30900,30900,30900,30900,30900,30900,30900,30900
31000,31000,31000,31000,31000,31000,31000,31000
31100,31100,31100,31100,31100,31100,31100,31100
31200,31200,31200,31200,31200,31200,31200,31200
31300,31300,31300,31300,31300,31300,31300,31300
31400,31400,31400,31400,31400,31400,31400,31400
31500,31500,31500,31500,31500,31500,31500,31500
31600,31600,31600,31600,31600,31600,31600,31600
31700,31700,31700,31700,31700,31700,31700,31700
31800,31800,31800,31800,31800,31800,31800,31800
31900,31900,31900,31900,31900,31900,31900,31900
32000,32000,32000,32000,32000,32000,32000,32000
32100,32100,32100,32100,32100,32100,32100,32100
32200,32200,32200,32200,32200,32200,32200,32200
32300,32300,32300,32300,32300,32300,32300,32300
32400,32400,32400,32400,32400,32400,32400,32400
32500,32500,32500,32500,32500,32500,32500,32500
32600,32600,32600,32600,32600,32600,32600,32600
32700,32700,32700,32700,32700,32700,32700,32700
32800,32800,32800,32800,32800,32800,32800,32800
32900,32900,32900,32900,32900,32900,32900,32900
33000,33000,33000,33000,33000,33000,33000,33000
33100,33100,33100,33100,33100,33100,33100,33100
33200,33200,33200,33200,33200,33200,33200,33200
33300,33300,33300,33300,33300,33300,33300,33300
33400,33400,33400,33400,33400,33400,33400,33400
33500,33500,33500,33500,33500,33500,33500,33500
33600,33600,33600,33600,33600,33600,33600,33600
33700,33700,33700,33700,33700,33700,33700,33700
33800,33800,33800,33800,33800,33800,33800,33800
33900,33900,33900,33900,33900,33900,33900,33900
34000,34000,34000,34000,34000,34000,34000,34000
34100,34100,34100,34100,34100,34100,34100,34100
34200,34200,34200,34200,34200,34200,34200,34200
34300,34300,34300,34300,34300,34300,34300,34300
34400,34400,34400,34400,34400,34400,34400,34400
34500,34500,34500,34500,34500,34500,34500,34500
34600,34600,34600,34600,34600,34600,34600,34600
34700,34700,34700,34700,34700,34700,34700,34700
34800,34800,34800,34800,34800,34800,34800,34800
34900,34900,34900,34900,34900,34900,34900,34900
35000,35000,35000,35000,35000,35000,35000,35000
35100,35100,35100,35100,35100,35100,35100,35100
35200,35200,35200,35200,35200,35200,35200,35200
35300,35300,35300,35300,35300,35300,35300,35300
35400,35400,35400,35400,35400,35400,35400,35400
35500,35500,35500,35500,35500,35500,35500,35500
35600,35600,35600,35600,35600,35600,35600,35600
35700,35700,35700,35700,35700,35700,35700,35700
35800,35800,35800,35800,35800,35800,35800,35800
35900,35900,35900,35900,35900,35900,35900,35900
36000,36000,36000,36000,36000,36000,36000,36000
36100,36100,36100,36100,36100,36100,36100,36100
36200,36200,36200,36200,36200,36200,36200,36200
36300,36300,36300,36300,36300,36300,36300,36300
36400,36400,36400,36400,36400,36400,36400,36400
36500,36500,36500,36500,36500,36500,36500,36500
36600,36600,36600,36600,36600,36600,36600,36600
36700,36700,36700,36700,36700,36700,36700,36700
36800,36800,36800,36800,36800,36800,36800,36800
36900,36900,36900,36900,36900,36900,36900,36900
37000,37000,37000,37000,37000,37000,37000,37000
37100,37100,37100,37100,37100,37100,37100,37100
37200,37200,37200,37200,37200,37200,37200,37200
37300,37300,37300,37300,37300,37300,37300,37300
37400,37400,37400,37400,37400,37400,37400,37400
37500,37500,37500,37500,37500,37500,37500,37500
37600,37600,37600,37600,37600,37600,37600,37600
37700,37700,37700,37700,37700,37700,37700,37700
37800,37800,37800,37800,37800,37800,37800,37800
37900,37900,37900,37900,37900,37900,37900,37900
38000,38000,38000,38000,38000,38000,38000,38000
38100,38100,38100,38100,38100,38100,38100,38100
38200,38200,38200,38200,38200,38200,38200,38200
38300,38300,38300,38300,38300,38300,38300,38300
38400,38400,38400,38400,38400,38400,38400,38400
38500,38500,38500,38500,38500,38500,38500,38500
38600,38600,38600,38600,38600,38600,38600,38600
38700,38700,38700,38700,38700,38700,38700,38700
38800,38800,38800,38800,38800,38800,38800,38800
38900,38900,38900,38900,38900,38900,38900,38900
39000,39000,39000,39000,39000,39000,39000,39000
39100,39100,39100,39100,39100,39100,39100,39100
39200,39200,39200,39200,39200,39200,39200,39200
39300,39300,39300,39300,39300,39300,39300,39300
39400,39400,39400,39400,39400,39400,39400,39400
39500,39500,39500,39500,39500,39500,39500,39500
39600,39600,39600,39600,39600,39600,39600,39600
39700,39700,39700,39700,39700,39700,39700,39700
39800,39800,39800,39800,39800,39800,39800,39800
39900,39900,39900,39900,39900,39900,39900,39900
40000,40000,40000,40000,40000,40000,40000,40000
40100,40100,40100,40100,40100,40100,40100,40100
40200,40200,40200,40200,40200,40200,40200,40200
40300,40300,40300,40300,40300,40300,40300,40300
40400,40400,40400,40400,40400,40400,40400,40400
40500,40500,40500,40500,40500,40500,40500,40500
40600,40600,40600,40600,40600,40600,40600,40600
40700,40700,40700,40700,40700,40700,40700,40700
40800,40800,40800,40800,40800,40800,40800,40800
40900,40900,40900,40900,40900,40900,40900,40900
41000,41000,41000,41000,41000,41000,41000,41000
41100,41100,41100,41100,41100,41100,41100,41100
41200,41200,41200,41200,41200,41200,41200,41200
41300,41300,41300,41300,41300,41300,41300,41300
41400,41400,41400,41400,41400,41400,41400,41400
41500,41500,41500,41500,41500,41500,41500,41500
41600,41600,41600,41600,41600,41600,41600,41600
41700,41700,41700,41700,41700,41700,41700,41700
41800,41800,41800,41800,41800,41800,41800,41800
41900,41900,41900,41900,41900,41900,41900,41900
42000,42000,42000,42000,42000,42000,42000,42000
42100,42100,42100,42100,42100,42100,42100,42100
42200,42200,42200,42200,42200,42200,42200,42200
42300,42300,42300,42300,42300,42300,42300,42300
42400,42400,42400,42400,42400,42400,42400,42400
42500,42500,42500,42500,42500,42500,42500,42500
42600,42600,42600,42600,42600,42600,42600,42600
42700,42700,42700,42700,42700,42700,42700,42700
42800,42800,42800,42800,42800,42800,42800,42800
42900,42900,42900,42900,42900,42900,42900,42900
43000,43000,43000,43000,43000,43000,43000,43000
43100,43100,43100,43100,43100,43100,43100,43100
43200,43200,43200,43200,43200,43200,43200,43200
43300,43300,43300,43300,43300,43300,43300,43300
43400,43400,43400,43400,43400,43400,43400,43400
43500,43500,43500,43500,43500,43500,43500,43500
43600,43600,43600,43600,43600,43600,43600,43600
43700,43700,43700,43700,43700,43700,43700,43700
43800,43800,43800,43800,43800,43800,43800,43800
43900,43900,43900,43900,43900,43900,43900,43900
44000,44000,44000,44000,44000,44000,44000,44000
44100,44100,44100,44100,44100,44100,44100,44100
44200,44200,44200,44200,44200,44200,44200,44200
44300,44300,44300,44300,44300,44300,44300,44300
44400,44400,44400,44400,44400,44400,44400,44400
44500,44500,44500,44500,44500,44500,44500,44500
44600,44600,44600,44600,44600,44600,44600,44600
44700,44700,44700,44700,44700,44700,44700,44700
44800,44800,44800,44800,44800,44800,44800,44800
44900,44900,44900,44900,44900,44900,44900,44900
45000,45000,45000,45000,45000,45000,45000,45000
45100,45100,45100,45100,45100,45100,45100,45100
45200,45200,45200,45200,45200,45200,45200,45200
45300,45300,45300,45300,45300,45300,45300,45300
45400,45400,45400,45400,45400,45400,45400,45400
45500,45500,45500,45500,45500,45500,45500,45500
45600,45600,45600,45600,45600,45600,45600,45600
45700,45700,45700,45700,45700,45700,45700,45700
45800,45800,45800,45800,45800,45800,45800,45800
45900,45900,45900,45900,45900,45900,45900,45900
46000,46000,46000,46000,46000,46000,46000,46000
46100,46100,46100,46100,46100,46100,46100,46100
46200,46200,46200,46200,46200,46200,46200,46200
46300,46300,46300,46300,46300,46300,46300,46300
46400,46400,46400,46400,46400,46400,46400,46400
46500,46500,46500,46500,46500,46500,46500,46500
46600,46600,46600,46600,46600,46600,46600,46600
46700,46700,46700,46700,46700,46700,46700,46700
46800,46800,46800,46800,46800,46800,46800,46800
46900,46900,46900,46900,46900,46900,46900,46900
47000,47000,47000,47000,47000,47000,47000,47000
47100,47100,47100,47100,47100,47100,47100,47100
47200,47200,47200,47200,47200,47200,47200,47200
47300,47300,47300,47300,47300,47300,47300,47300
47400,47400,47400,47400,47400,47400,47400,47400
47500,47500,47500,47500,47500,47500,47500,47500
47600,47600,47600,47600,47600,47600,47600,47600
47700,47700,47700,47700,47700,47700,47700,47700
47800,47800,47800,47800,47800,47800,47800,47800
47900,47900,47900,47900,47900,47900,47900,47900
48000,48000,48000,48000,48000,48000,48000,48000
48100,48100,48100,48100,48100,48100,48100,48100
48200,48200,48200,48200,48200,48200,48200,48200
48300,48300,48300,48300,48300,48300,48300,48300
48400,48400,48400,48400,48400,48400,48400,48400
48500,48500,48500,48500,48500,48500,48500,48500
48600,48600,48600,48600,48600,48600,48600,48600
48700,48700,48700,48700,48700,48700,48700,48700
48800,48800,48800,48800,48800,48800,48800,48800
48900,48900,48900,48900,48900,48900,48900,48900
49000,49000,49000,49000,49000,49000,49000,49000
49100,49100,49100,49100,49100,49100,49100,49100
49200,49200,49200,49200,49200,49200,49200,49200
49300,49300,49300,49300,49300,49300,49300,49300
49400,49400,49400,49400,49400,49400,49400,49400
49500,49500,49500,49500,49500,49500,49500,49500
49600,49600,49600,49600,49600,49600,49600,49600
49700,49700,49700,49700,49700,49700,49700,49700
49800,49800,49800,49800,49800,49800,49800,49800
49900,49900,49900,49900,49900,49900,49900,49900
50000,50000,50000,50000,50000,50000,50000,50000
50100,50100,50100,50100,50100,50100,50100,50100
50200,50200,50200,50200,50200,50200,50200,50200
50300,50300,50300,50300,50300,50300,50300,50300
50400,50400,50400,50400,50400,50400,50400,50400
50500,50500,50500,50500,50500,50500,50500,50500
50600,50600,50600,50600,50600,50600,50600,50600
50700,50700,50700,50700,50700,50700,50700,50700
50800,50800,50800,50800,50800,50800,50800,50800
50900,50900,50900,50900,50900,50900,50900,50900
51000,51000,51000,51000,51000,51000,51000,51000
51100,51100,51100,51100,51100,51100,51100,51100
51200,51200,51200,51200,51200,51200,51200,51200
51300,51300,51300,51300,51300,51300,51300,51300
51400,51400,51400,51400,51400,51400,51400,51400
51500,51500,51500,51500,51500,51500,51500,51500
51600,51600,51600,51600,51600,51600,51600,51600
51700,51700,51700,51700,51700,51700,51700,51700
51800,51800,51800,51800,51800,51800,51800,51800
51900,51900,51900,51900,51900,51900,51900,51900
52000,52000,52000,52000,52000,52000,52000,52000
52100,52100,52100,52100,52100,52100,52100,52100
52200,52200,52200,52200,52200,52200,52200,52200
52300,52300,52300,52300,52300,52300,52300,52300
52400,52400,52400,52400,52400,52400,52400,52400
52500,52500,52500,52500,52500,52500,52500,52500
52600,52600,52600,52600,52600,52600,52600,52600
52700,52700,52700,52700,52700,52700,52700,52700
52800,52800,52800,52800,52800,52800,52800,52800
52900,52900,52900,52900,52900,52900,52900,52900
53000,53000,53000,53000,53000,53000,53000,53000
53100,53100,53100,53100,53100,53100,53100,53100
53200,53200,53200,53200,53200,53200,53200,53200
53300,53300,53300,53300,53300,53300,53300,53300
53400,53400,53400,53400,53400,53400,53400,53400
53500,53500,53500,53500,53500,53500,53500,53500
53600,53600,53600,53600,53600,53600,53600,53600
53700,53700,53700,53700,53700,53700,53700,53700
53800,53800,53800,53800,53800,53800,53800,53800
53900,53900,53900,53900,53900,53900,53900,53900
54000,54000,54000,54000,54000,54000,54000,54000
54100,54100,54100,54100,54100,54100,54100,54100
54200,54200,54200,54200,54200,54200,54200,54200
54300,54300,54300,54300,54300,54300,54300,54300
54400,54400,54400,54400,54400,54400,54400,54400
54500,54500,54500,54500,54500,54500,54500,54500
54600,54600,54600,54600,54600,54600,54600,54600
54700,54700,54700,54700,54700,54700,54700,54700
54800,54800,54800,54800,54800,54800,54800,54800
54900,54900,54900,54900,54900,54900,54900,54900
55000,55000,55000,55000,55000,55000,55000,55000
55100,55100,55100,55100,55100,55100,55100,55100
55200,55200,55200,55200,55200,55200,55200,55200
55300,55300,55300,55300,55300,55300,55300,55300
55400,55400,55400,55400,55400,55400,55400,55400
55500,55500,55500,55500,55500,55500,55500,55500
55600,55600,55600,55600,55600,55600,55600,55600
55700,55700,55700,55700,55700,55700,55700,55700
55800,55800,55800,55800,55800,55800,55800,55800
55900,55900,55900,55900,55900,55900,55900,55900
56000,56000,56000,56000,56000,56000,56000,56000
56100,56100,56100,56100,56100,56100,56100,56100
56200,56200,56200,56200,56200,56200,56200,56200
56300,56300,56300,56300,56300,56300,56300,56300
56400,56400,56400,56400,56400,56400,56400,56400
56500,56500,56500,56500,56500,56500,56500,56500
56600,56600,56600,56600,56600,56600,56600,56600
56700,56700,56700,56700,56700,56700,56700,56700
56800,56800,56800,56800,56800,56800,56800,56800
56900,56900,56900,56900,56900,56900,56900,56900
57000,57000,57000,57000,57000,57000,57000,57000
57100,57100,57100,57100,57100,57100,57100,57100
57200,57200,57200,57200,57200,57200,57200,57200
57300,57300,57300,57300,57300,57300,57300,57300
57400,57400,57400,57400,57400,57400,57400,57400
57500,57500,57500,57500,57500,57500,57500,57500
57600,57600,57600,57600,57600,57600,57600,57600
57700,57700,57700,57700,57700,57700,57700,57700
57800,57800,57800,57800,57800,57800,57800,57800
